Date,Occupancy,Arrivals,Departures,Presences,Revenue,RevPar,ADR
01/01/13,95,41,233,234,21116.84,116.03,239.96
02/01/13,58,25,117,142,11260.55,61.53,204.74
03/01/13,78,63,51,154,15053.62,82.71,203.43
04/01/13,87,25,24,155,13963.85,76.72,170.29
05/01/13,75,14,34,135,9580.86,52.64,136.87
06/01/13,15,0,98,37,2122.13,11.66,163.24
07/01/13,1,0,36,1,127.27,0.7,0.0
08/01/13,1,0,0,1,0.0,0,0.0
09/01/13,10,17,0,18,833.27,4.58,92.59
10/01/13,88,128,0,146,13938.55,76.59,160.21
11/01/13,6,3,139,10,392.18,2.19,78.44
12/01/13,12,15,5,20,918.91,5.13,131.27
13/01/13,1,0,19,1,0.0,0,0.0
14/01/13,1,0,0,1,0.0,0,0.0
15/01/13,1,0,0,1,0.0,0,0.0
16/01/13,2,1,0,2,0.0,0,0.0
17/01/13,2,0,0,2,0.0,0,0.0
18/01/13,1,0,1,1,0.0,0,0.0
19/01/13,1,0,0,1,0.0,0,0.0
20/01/13,8,12,0,13,534.55,2.94,89.09
21/01/13,10,5,2,16,714.55,4.06,89.32
22/01/13,6,0,7,9,423.64,2.39,84.73
23/01/13,7,3,1,11,430.91,2.43,86.18
24/01/13,15,13,2,22,827.27,4.7,91.92
25/01/13,22,17,2,37,1958.18,11.13,108.79
26/01/13,49,56,7,86,5528.36,31.23,122.85
27/01/13,6,0,76,10,739.09,4.18,147.82
28/01/13,2,2,9,3,0.0,0,0.0
29/01/13,2,0,0,3,0.0,0,0.0
30/01/13,2,0,0,3,0.0,0,0.0
31/01/13,2,0,0,3,0.0,0,0.0
01/02/13,1,0,2,1,0.0,0,0.0
02/02/13,9,11,0,12,1203.64,6.61,150.46
03/02/13,61,95,3,104,10240.91,55.96,170.68
04/02/13,1,0,103,1,420.0,2.3,0.0
05/02/13,2,1,0,2,0.0,0,0.0
06/02/13,19,29,0,31,2527.27,14.36,148.66
07/02/13,11,16,27,20,948.55,5.39,158.09
08/02/13,9,8,10,18,841.15,4.78,140.19
09/02/13,12,12,7,23,1463.33,8.31,133.03
10/02/13,3,0,19,4,243.64,1.38,121.82
11/02/13,2,0,1,3,90.91,0.52,90.91
12/02/13,2,0,0,3,378.91,2.15,378.91
13/02/13,17,26,0,29,1132.73,6.44,70.8
14/02/13,34,32,0,61,2933.81,16.96,88.9
15/02/13,36,19,16,64,3461.67,19.45,98.9
16/02/13,117,177,4,237,13821.49,77.65,124.52
17/02/13,16,4,208,33,875.15,4.92,67.32
18/02/13,12,2,10,25,1061.33,5.96,96.48
19/02/13,15,4,1,28,1272.24,8.1,97.86
20/02/13,17,3,0,31,1548.6,9.86,103.24
21/02/13,18,3,2,32,1675.87,10.67,104.74
22/02/13,21,14,5,41,2434.22,15.6,121.71
23/02/13,24,37,26,52,3761.64,23.66,163.55
24/02/13,55,82,39,95,8878.91,51.03,164.42
25/02/13,10,9,88,16,1643.45,10.47,273.91
26/02/13,12,5,4,17,-9284.33,-60.68,-1326.33
27/02/13,18,17,7,27,1051.64,6.87,65.73
28/02/13,30,25,2,50,2431.63,16.1,93.52
01/03/13,40,21,4,67,2998.29,19.6,85.67
02/03/13,47,35,14,88,4566.17,28.19,106.19
03/03/13,21,5,60,33,1774.55,11.02,110.91
04/03/13,9,2,22,13,567.28,3.76,141.82
05/03/13,11,9,6,16,1318.18,8.67,188.31
06/03/13,20,19,3,32,2220.0,14.61,130.59
07/03/13,27,15,7,40,2246.43,14.78,97.67
08/03/13,39,28,3,65,3746.97,24.33,120.87
09/03/13,56,44,8,101,5598.78,32.74,119.12
10/03/13,31,16,71,46,3106.04,18.16,129.42
11/03/13,105,109,12,143,17700.22,96.72,175.25
12/03/13,141,46,9,180,22430.91,123.25,162.54
13/03/13,15,4,162,22,1598.18,8.78,133.18
14/03/13,20,12,4,30,1341.82,7.8,89.45
15/03/13,28,17,3,44,2251.82,13.09,107.23
16/03/13,36,32,10,66,4392.73,25.39,146.42
17/03/13,22,7,35,38,1930.0,11.16,107.22
18/03/13,21,7,9,36,1719.09,9.94,101.12
19/03/13,23,10,8,38,1912.57,11.18,112.5
20/03/13,17,9,20,27,717.82,4.25,89.73
21/03/13,27,20,7,40,974.36,5.8,108.26
22/03/13,47,52,10,82,4327.64,25.61,139.6
23/03/13,66,69,27,124,7588.8,45.44,168.64
24/03/13,48,33,62,95,6401.93,38.11,156.14
25/03/13,48,7,10,92,6199.59,36.68,147.61
26/03/13,67,32,7,117,8996.86,50.54,152.49
27/03/13,62,35,32,120,9782.23,53.45,184.57
28/03/13,68,65,31,154,13985.74,77.27,229.27
29/03/13,83,82,27,209,21874.65,119.53,284.09
30/03/13,111,102,15,296,30813.64,168.38,293.46
31/03/13,107,32,32,296,31715.09,173.31,314.01
01/04/13,64,17,124,189,19142.53,104.6,324.45
02/04/13,36,6,102,93,10078.85,55.08,305.42
03/04/13,39,25,23,95,11149.15,60.92,318.55
04/04/13,42,22,21,96,16429.06,95.52,432.34
05/04/13,117,116,16,196,30905.29,179.68,271.1
06/04/13,119,69,50,215,31117.5,173.84,270.59
07/04/13,41,9,138,86,6460.18,35.3,179.45
08/04/13,60,28,13,101,9702.0,54.2,176.4
09/04/13,43,9,32,78,8280.78,46,217.92
10/04/13,46,11,8,81,11933.36,66.3,284.13
11/04/13,57,36,19,98,12713.4,71.83,244.49
12/04/13,104,93,24,167,24388.85,134,262.25
13/04/13,125,43,25,185,25565.76,146.09,224.26
14/04/13,78,89,132,142,14979.27,83.22,205.2
15/04/13,64,5,25,122,13045.0,72.47,217.42
16/04/13,29,5,78,49,-25321.02,-140.67,-1100.91
17/04/13,40,20,6,63,6889.96,38.28,222.26
18/04/13,61,46,7,102,8881.57,50.18,227.73
19/04/13,66,30,12,120,9878.3,54.88,240.93
20/04/13,172,222,43,299,29730.22,162.46,191.81
21/04/13,138,134,187,246,20989.16,115.96,157.81
22/04/13,21,7,206,47,9687.9,56.65,605.49
23/04/13,17,8,17,38,5441.17,30.74,388.66
24/04/13,52,76,7,107,12362.57,70.24,353.22
25/04/13,139,213,5,315,33632.03,191.09,297.63
26/04/13,158,86,28,373,40208.03,227.16,291.36
27/04/13,165,84,42,415,46840.45,264.64,308.16
28/04/13,74,32,257,190,21837.49,124.08,341.21
29/04/13,59,18,50,158,18769.76,109.13,354.15
30/04/13,69,56,32,182,17474.03,101.01,286.46
01/05/13,91,101,48,235,25790.84,149.08,307.03
02/05/13,102,47,33,249,27996.56,156.41,304.31
03/05/13,112,52,39,262,29339.52,164.83,279.42
04/05/13,128,83,40,305,35051.44,195.82,287.31
05/05/13,70,12,132,185,20134.75,112.48,314.61
06/05/13,74,47,42,190,21822.11,121.91,311.74
07/05/13,82,30,22,198,40838.45,229.43,523.57
08/05/13,183,296,33,461,58682.99,318.93,327.84
09/05/13,178,11,24,448,57530.37,314.37,330.63
10/05/13,173,12,23,437,55299.2,308.93,327.21
11/05/13,161,325,357,405,45853.99,251.95,292.06
12/05/13,168,23,29,399,47098.08,258.78,287.18
13/05/13,121,21,112,308,37738.11,208.5,328.16
14/05/13,61,45,171,182,21959.79,136.4,457.5
15/05/13,39,9,110,81,9784.06,58.24,315.61
16/05/13,70,66,1,146,17098.62,101.18,328.82
17/05/13,91,69,23,192,23369.51,138.28,324.58
18/05/13,98,59,32,219,28249.94,167.16,332.35
19/05/13,76,26,67,178,23217.44,137.38,327.01
20/05/13,61,27,64,141,19403.98,113.47,334.55
21/05/13,59,39,40,140,18637.11,108.99,332.81
22/05/13,67,47,15,172,23438.78,132.42,360.6
23/05/13,133,155,25,302,36252.99,204.82,274.64
24/05/13,149,67,27,342,41441.9,231.52,281.92
25/05/13,178,142,29,455,53688.18,296.62,305.05
26/05/13,180,20,16,459,54223.05,296.3,306.34
27/05/13,160,86,119,426,48880.98,270.06,311.34
28/05/13,139,86,115,397,50247.56,279.15,374.98
29/05/13,142,70,72,395,50979.38,286.4,383.3
30/05/13,147,70,74,391,51940.24,295.12,379.13
31/05/13,166,97,57,431,68470.92,382.52,436.12
01/06/13,154,87,121,397,53063.85,294.8,365.96
02/06/13,148,83,177,303,51268.41,280.16,358.52
03/06/13,132,33,73,263,39784.06,217.4,313.26
04/06/13,86,27,74,216,29076.91,158.89,354.6
05/06/13,93,44,21,239,30717.76,167.86,345.14
06/06/13,116,87,16,310,39188.16,214.14,349.89
07/06/13,169,140,21,429,57491.75,317.63,352.71
08/06/13,175,71,61,439,62140.9,343.32,367.7
09/06/13,109,48,194,293,41904.33,243.63,402.93
10/06/13,115,43,32,304,44845.76,250.53,411.43
11/06/13,127,49,50,303,48799.61,288.76,400.0
12/06/13,158,86,44,345,59395.24,337.47,388.2
13/06/13,164,69,62,352,58190.52,328.76,370.64
14/06/13,167,65,55,362,67990.82,386.31,417.12
15/06/13,156,120,120,362,62946.41,359.69,419.64
16/06/13,87,36,187,211,39772.74,225.98,485.03
17/06/13,125,130,43,298,56211.77,324.92,476.37
18/06/13,119,22,35,285,49253.83,284.7,432.05
19/06/13,125,33,11,307,53567.64,316.97,446.4
20/06/13,136,55,28,334,60509.04,339.94,458.4
21/06/13,160,202,164,372,69901.04,384.07,450.97
22/06/13,183,105,44,433,79915.69,436.7,443.98
23/06/13,93,53,229,257,45701.99,251.11,537.67
24/06/13,107,79,46,290,49441.55,280.92,504.51
25/06/13,111,43,31,302,48062.23,273.08,475.86
26/06/13,120,40,14,328,50440.15,303.86,458.55
27/06/13,142,83,44,367,57361.55,318.68,441.24
28/06/13,159,108,41,434,67965.35,379.69,462.35
29/06/13,179,164,78,520,77772.06,429.68,454.81
30/06/13,137,71,182,409,64796.15,370.26,490.88
01/07/13,138,69,65,413,61634.55,336.8,463.42
02/07/13,143,65,41,437,70207.25,387.89,501.48
03/07/13,153,81,61,457,72681.64,410.63,494.43
04/07/13,175,86,46,497,81240.05,443.93,477.88
05/07/13,171,44,48,493,77167.32,426.34,467.68
06/07/13,179,124,100,517,94075.98,511.28,534.52
07/07/13,166,93,103,507,83160.2,454.43,507.07
08/07/13,173,106,72,541,93031.8,505.61,550.48
09/07/13,166,43,68,516,88169.83,479.18,544.26
10/07/13,169,51,44,523,94283.54,512.41,574.9
11/07/13,174,58,53,528,104899.7,570.11,620.71
12/07/13,182,68,51,545,115623.65,631.82,656.95
13/07/13,179,122,128,539,101215.44,559.2,581.7
14/07/13,174,84,95,528,100870.31,557.29,600.42
15/07/13,175,89,88,529,98162.62,548.39,584.3
16/07/13,167,61,77,513,98106.93,539.05,609.36
17/07/13,166,47,53,507,97685.72,533.8,606.74
18/07/13,177,64,39,532,99603.19,547.27,579.09
19/07/13,173,42,51,523,97294.58,534.59,579.13
20/07/13,183,136,111,548,96316.35,523.46,547.25
21/07/13,172,45,71,522,94132.7,514.39,570.5
22/07/13,171,62,71,513,99542.76,540.99,603.29
23/07/13,172,60,61,512,94785.7,515.14,574.46
24/07/13,171,48,43,517,99055.98,538.35,596.72
25/07/13,172,49,54,512,106162.3,586.53,647.33
26/07/13,173,48,38,522,111042.45,603.49,672.98
27/07/13,183,141,116,547,113715.86,618.02,649.8
28/07/13,162,55,105,497,116692.24,655.57,752.85
29/07/13,161,72,80,489,96618.85,533.81,615.41
30/07/13,158,39,56,472,98785.4,548.81,629.21
31/07/13,164,58,35,495,108494.41,592.87,665.61
01/08/13,164,38,40,493,97282.89,534.52,596.83
02/08/13,167,32,19,506,99043.68,541.22,603.92
03/08/13,181,122,87,541,108955.68,592.15,608.69
04/08/13,172,77,99,519,107280.86,583.05,631.06
05/08/13,175,84,56,547,107635.67,584.98,618.6
06/08/13,172,52,59,540,109646.79,599.16,641.21
07/08/13,176,47,45,542,112059.88,609.02,640.34
08/08/13,179,56,41,557,117381.53,637.94,659.45
09/08/13,180,33,31,559,115776.5,629.22,650.43
10/08/13,183,129,114,574,118942.24,646.43,660.79
11/08/13,180,58,65,567,116206.33,635.01,656.53
12/08/13,179,51,54,564,119578.26,649.88,675.58
13/08/13,181,52,53,563,120676.82,655.85,674.17
14/08/13,181,59,67,555,123043.38,668.71,687.39
15/08/13,181,39,40,554,124766.77,678.08,700.94
16/08/13,180,57,58,553,121763.6,661.76,684.07
17/08/13,176,127,127,553,118537.73,644.23,689.17
18/08/13,185,86,57,582,126788.6,689.07,696.64
19/08/13,179,70,73,579,120752.82,656.27,690.02
20/08/13,181,50,46,583,122655.17,670.25,692.97
21/08/13,180,54,55,582,119926.71,655.34,677.55
22/08/13,181,30,25,587,117840.78,640.44,665.77
23/08/13,184,50,39,598,120146.81,652.97,663.79
24/08/13,182,146,163,581,110887.32,602.65,622.96
25/08/13,179,58,78,561,109898.82,597.28,631.6
26/08/13,181,71,68,564,98375.39,534.65,549.58
27/08/13,177,53,79,538,89323.23,485.45,513.35
28/08/13,165,39,79,498,81936.62,447.74,508.92
29/08/13,169,59,42,515,86748.97,474.04,522.58
30/08/13,180,96,74,537,86599.06,473.22,489.26
31/08/13,170,77,131,483,81152.71,443.46,483.05
01/09/13,166,77,108,452,76046.74,415.56,475.29
02/09/13,105,56,221,287,49623.92,269.7,511.59
03/09/13,105,49,54,282,45497.92,248.62,489.22
04/09/13,118,52,38,296,56668.09,309.66,519.89
05/09/13,126,46,31,311,50125.02,276.93,428.42
06/09/13,135,63,34,340,57405.03,317.15,441.58
07/09/13,142,71,71,340,50119.46,275.38,371.26
08/09/13,107,62,146,256,36298.74,200.55,359.39
09/09/13,110,66,60,262,35558.8,195.38,338.66
10/09/13,110,48,43,267,34437.4,188.18,318.86
11/09/13,109,42,40,269,34204.45,191.09,328.89
12/09/13,114,77,38,308,38874.45,215.97,359.95
13/09/13,152,106,30,384,51113.49,282.39,354.95
14/09/13,167,85,40,429,55399.55,302.73,341.97
15/09/13,144,63,127,365,47065.15,257.19,333.8
16/09/13,116,53,137,281,36167.8,196.56,322.93
17/09/13,112,38,49,270,34111.86,185.39,321.81
18/09/13,118,44,24,290,36054.0,198.1,321.91
19/09/13,134,49,43,296,37735.34,215.63,294.81
20/09/13,167,115,60,351,50489.67,274.4,311.66
21/09/13,165,53,55,349,49737.97,270.32,308.93
22/09/13,112,44,144,249,35053.78,192.6,324.57
23/09/13,95,23,67,205,26420.02,148.43,314.52
24/09/13,97,35,40,200,25124.3,139.58,306.39
25/09/13,90,31,39,192,22363.41,124.94,290.43
26/09/13,147,159,62,289,39320.49,220.9,284.93
27/09/13,154,77,33,333,46816.99,263.02,318.48
28/09/13,152,64,62,335,45807.05,267.88,313.75
29/09/13,95,74,234,175,26453.75,193.09,293.93
30/09/13,140,112,22,265,40038.35,217.6,301.04
01/10/13,169,173,89,349,62140.95,339.57,381.23
02/10/13,181,52,22,379,59511.15,334.33,340.06
03/10/13,181,24,26,377,63449.67,352.5,364.65
04/10/13,148,209,233,353,41673.92,227.73,293.48
05/10/13,141,68,92,329,38912.44,211.48,288.24
