Date,Occupancy,Arrivals,Departures,Presences,Revenue,RevPar,ADR
06/10/13,63,66,230,165,18974.15,103.12,332.88
07/10/13,63,29,26,168,19515.75,118.28,342.38
08/10/13,67,45,36,177,20223.23,121.83,342.77
09/10/13,119,110,20,267,25698.85,154.81,225.43
10/10/13,133,38,17,288,26660.92,148.94,220.34
11/10/13,133,25,35,278,20883.58,125.05,169.79
12/10/13,126,22,37,263,24073.19,136.01,202.3
13/10/13,52,40,170,133,15044.89,85,307.04
14/10/13,41,11,37,107,11708.36,65.78,308.11
15/10/13,43,22,23,106,10451.85,60.77,316.72
16/10/13,43,16,25,97,9092.18,52.86,275.52
17/10/13,64,45,15,127,10643.05,68.22,221.73
18/10/13,103,74,19,182,28328.22,159.15,329.4
19/10/13,108,65,32,215,24677.68,138.64,246.78
20/10/13,41,25,131,109,11004.87,62.17,297.43
21/10/13,86,67,23,153,17462.24,98.66,239.21
22/10/13,85,12,15,150,16977.53,95.92,239.12
23/10/13,40,10,64,96,10476.47,58.86,388.02
24/10/13,66,57,18,135,13781.95,85.07,233.59
25/10/13,121,94,5,224,22129.93,130.18,192.43
26/10/13,122,67,70,221,22379.29,133.21,189.66
27/10/13,40,19,143,97,11000.71,64.71,323.55
28/10/13,48,22,15,104,10989.03,65.02,333.0
29/10/13,55,26,11,119,11575.8,68.9,321.55
30/10/13,54,37,22,134,11519.04,70.24,274.26
31/10/13,92,107,6,235,20956.49,123.27,255.57
01/11/13,165,191,27,399,35306.24,204.08,224.88
02/11/13,148,10,59,350,31848.54,184.1,224.29
03/11/13,42,25,290,85,4747.45,27.44,128.31
04/11/13,37,9,34,60,4143.38,24.81,129.48
05/11/13,49,29,26,63,6926.2,40.74,173.16
06/11/13,32,13,28,48,2492.38,14.41,103.85
07/11/13,37,17,11,54,4511.34,25.93,145.53
08/11/13,26,11,21,44,1174.33,6.71,55.92
09/11/13,31,23,10,57,2905.7,17.3,107.62
10/11/13,19,13,38,32,1925.9,11.2,128.39
11/11/13,20,5,3,34,1968.45,11.44,131.23
12/11/13,20,1,1,34,1834.99,10.67,131.07
13/11/13,14,11,24,21,882.65,5.13,110.33
14/11/13,23,17,5,33,1653.93,9.9,118.14
15/11/13,33,21,3,51,2785.75,16.48,126.63
16/11/13,86,133,2,182,8345.52,50.27,122.73
17/11/13,14,7,167,22,1864.68,10.72,207.19
18/11/13,10,0,7,15,625.58,3.49,125.12
19/11/13,7,2,8,9,773.09,4.32,386.55
20/11/13,8,6,4,11,318.18,1.78,106.06
21/11/13,20,18,3,26,1475.09,8.1,122.92
22/11/13,18,7,8,25,622.73,3.42,56.61
23/11/13,23,25,10,40,2513.82,13.81,132.31
24/11/13,5,1,35,6,0.0,0,0.0
25/11/13,5,0,0,6,0.0,0,0.0
26/11/13,7,2,0,8,0.0,0,0.0
27/11/13,7,0,0,8,0.0,0,0.0
28/11/13,5,0,2,6,0.0,0,0.0
29/11/13,5,0,0,6,0.0,0,0.0
30/11/13,5,0,0,6,0.0,0,0.0
01/12/13,5,0,0,6,0.0,0,0.0
02/12/13,5,0,0,6,0.0,0,0.0
03/12/13,6,0,0,6,20547.43,124.53,0.0
04/12/13,6,0,0,6,19213.0,116.44,0.0
05/12/13,6,0,0,6,75.0,0.45,0.0
06/12/13,4,0,1,5,0.0,0,0.0
07/12/13,4,0,0,5,0.0,0,0.0
08/12/13,4,0,0,5,0.0,0,0.0
09/12/13,4,0,0,5,0.0,0,0.0
10/12/13,4,0,0,5,-2011.27,-12.19,0.0
11/12/13,4,0,0,5,0.0,0,0.0
12/12/13,5,1,0,6,0.0,0,0.0
13/12/13,5,0,0,6,0.0,0,0.0
14/12/13,5,0,0,6,0.0,0,0.0
15/12/13,5,0,0,6,0.0,0,0.0
16/12/13,4,0,1,5,0.0,0,0.0
17/12/13,4,0,0,5,0.0,0,0.0
18/12/13,4,0,0,5,0.0,0,0.0
19/12/13,4,0,0,5,0.0,0,0.0
20/12/13,4,0,0,5,0.0,0,0.0
21/12/13,22,28,0,33,1870.91,11.48,103.94
22/12/13,4,0,28,5,0.0,0,0.0
23/12/13,4,0,0,5,0.0,0,0.0
24/12/13,4,0,0,5,0.0,0,0.0
25/12/13,4,0,0,5,0.0,0,0.0
26/12/13,15,27,0,32,2502.93,13.6,278.1
27/12/13,21,24,1,55,4394.93,23.89,293.0
28/12/13,59,107,4,158,11428.81,62.8,238.1
29/12/13,71,42,3,197,19543.63,107.38,331.25
30/12/13,94,55,6,246,23334.72,127.51,299.16
31/12/13,165,224,2,468,44232.98,243.04,318.22
